,Title,Employer,Location,Deadline
163,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
164,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
165,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
166,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
167,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
168,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
169,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
170,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
171,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
172,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
173,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
174,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
175,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
176,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
177,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
178,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
179,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
180,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
181,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
182,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
183,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
184,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
185,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
186,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
187,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
188,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
189,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
190,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
191,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
192,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
193,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
194,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
195,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
